time_ms,relative_alt_m,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
9922,-0.33,0.62,-5.23,7.36,-0.77,-0.84,0.70
9972,-0.28,-3.04,-9.82,4.29,0.07,-0.44,-0.39
10019,-0.38,-0.16,-7.59,6.41,-0.36,-0.69,-0.73
10064,-0.41,0.90,-8.35,4.86,-0.49,-0.59,-0.74
10112,-0.49,2.41,-7.13,7.12,-0.65,0.15,-0.22
10158,-0.47,-0.79,-9.11,5.97,-0.62,0.79,-0.53
10204,-0.53,0.98,-5.16,7.37,-0.21,-0.40,-0.49
10249,-0.50,2.44,-8.63,3.66,-1.43,-0.42,-0.30
10295,-0.54,2.48,-7.08,3.32,0.63,0.45,0.39
10340,-0.52,0.73,-7.57,4.62,1.61,2.15,1.19
10386,-0.53,-4.19,-6.11,9.22,0.83,1.56,0.34
10440,-0.57,-0.52,-8.02,5.71,-0.59,-2.61,-0.74
10492,-0.57,2.19,-7.06,5.50,0.20,0.63,0.34
10537,-0.51,0.04,-7.97,5.60,-0.15,-0.26,-0.10
10583,-0.57,1.45,-8.13,5.09,0.19,0.57,0.38
10628,-0.55,-1.10,-7.55,6.61,-0.00,0.37,0.39
10677,-0.54,-0.89,-7.76,6.91,-0.02,0.33,0.08
10723,-0.56,0.17,-7.41,5.74,-0.34,-0.73,-0.59
10768,-0.54,1.60,-7.26,5.30,0.12,0.14,0.17
10814,-0.64,0.41,-8.25,6.13,-0.11,-0.32,0.13
10860,-0.61,2.30,-7.59,4.44,-0.05,0.16,0.13
10905,-0.53,0.44,-7.48,5.53,0.38,0.78,0.50
10961,-0.59,-1.68,-7.70,7.39,0.14,0.62,0.20
11012,-0.60,-0.57,-7.58,6.12,-0.35,-0.65,-0.28
11058,-0.51,1.26,-7.44,4.85,0.05,0.12,0.11
11104,-0.56,-0.13,-7.52,5.93,0.12,0.36,0.23
11150,-0.56,-0.46,-7.25,6.19,0.28,0.27,0.42
11199,-0.59,-0.34,-5.99,7.23,0.17,0.56,0.11
11245,-0.49,-1.57,-7.09,7.09,-0.07,-0.14,-0.10
11292,-0.43,0.32,-7.38,5.76,-0.16,-0.31,-0.27
11339,-0.52,0.12,-7.73,5.77,0.01,0.36,0.03
11386,-0.49,-0.15,-7.11,5.78,0.01,0.21,0.07
11433,-0.44,-1.24,-7.35,7.08,-0.01,0.29,0.18
11488,-0.47,-0.40,-6.78,6.31,-0.25,-0.50,-0.15
11539,-0.37,-0.25,-7.36,6.26,-0.03,-0.02,0.31
11586,-0.49,-0.18,-7.83,5.87,-0.30,-0.31,-0.15
11632,-0.50,-1.04,-7.25,5.70,-0.19,-0.40,0.02
11679,-0.48,-0.89,-6.37,5.69,-0.46,0.02,0.47
11729,-0.51,-1.01,-11.48,5.24,-0.11,-0.48,-0.36
11775,-0.48,2.14,-8.08,5.20,0.15,0.11,-0.56
11821,-0.39,-0.62,-7.42,5.77,0.08,0.43,0.20
11867,-0.38,-0.41,-7.24,6.20,0.25,0.60,-0.02
11913,-0.43,-0.86,-7.02,6.96,-0.01,-0.04,0.28
11960,-0.45,-1.60,-6.76,6.41,-0.11,0.48,0.25
12014,-0.49,0.14,-7.52,6.16,-0.40,-0.95,-0.22
12064,-0.44,-0.82,-7.22,5.82,-0.09,-0.48,0.25
12111,-0.49,0.36,-7.58,5.89,-0.08,-0.40,-0.34
12156,-0.50,0.90,-7.37,5.88,-0.00,-0.14,-0.57
12202,-0.42,1.33,-7.90,5.72,-0.30,-0.34,-0.21
12250,-0.40,0.93,-7.67,5.61,-0.07,-0.28,0.23
12296,-0.36,1.34,-7.36,6.04,-0.04,-0.44,-0.18
12341,-0.32,-0.08,-7.88,6.44,0.03,-0.21,0.14
